Judge,query_type,Model,Data Type,median_L_score
GPT,OLTP,LLama 3-70B,Control Flow,0.95
GPT,OLTP,LLama 3-70B,Scheduling,0.95
GPT,OLTP,LLama 3-8B,Control Flow,1.0
GPT,OLTP,LLama 3-8B,Scheduling,1.0
GPT,OLTP,Claude,Control Flow,1.0
GPT,OLTP,Claude,Scheduling,1.0
GPT,OLTP,Gemini,Control Flow,1.0
GPT,OLTP,Gemini,Scheduling,1.0
GPT,OLTP,GPT,Control Flow,0.95
GPT,OLTP,GPT,Scheduling,0.95
GPT,OLTP,LLama 3-70B,Data Flow,1.0
GPT,OLTP,LLama 3-8B,Data Flow,0.8
GPT,OLTP,Claude,Data Flow,1.0
GPT,OLTP,Gemini,Data Flow,1.0
GPT,OLTP,GPT,Data Flow,1.0
GPT,OLTP,LLama 3-70B,Telemetry,0.8
GPT,OLTP,LLama 3-8B,Telemetry,1.0
GPT,OLTP,Claude,Telemetry,1.0
GPT,OLTP,Gemini,Telemetry,1.0
GPT,OLTP,GPT,Telemetry,1.0
GPT,OLAP,LLama 3-70B,Telemetry,0.8
GPT,OLAP,LLama 3-8B,Telemetry,0.9
GPT,OLAP,Claude,Telemetry,1.0
GPT,OLAP,Gemini,Telemetry,0.9
GPT,OLAP,GPT,Telemetry,0.9
GPT,OLAP,LLama 3-70B,Telemetry,0.8
GPT,OLAP,LLama 3-8B,Telemetry,0.5
GPT,OLAP,Claude,Telemetry,0.95
GPT,OLAP,Gemini,Telemetry,0.5
GPT,OLAP,GPT,Telemetry,1.0
GPT,OLAP,LLama 3-70B,Scheduling,1.0
GPT,OLAP,LLama 3-8B,Scheduling,1.0
GPT,OLAP,Claude,Scheduling,0.9
GPT,OLAP,Gemini,Scheduling,1.0
GPT,OLAP,GPT,Scheduling,1.0
GPT,OLAP,LLama 3-70B,Telemetry,0.95
GPT,OLAP,LLama 3-8B,Telemetry,0.95
GPT,OLAP,Claude,Telemetry,1.0
GPT,OLAP,Gemini,Telemetry,1.0
GPT,OLAP,GPT,Telemetry,1.0
GPT,OLAP,LLama 3-70B,Data Flow,1.0
GPT,OLAP,LLama 3-70B,Control Flow,1.0
GPT,OLAP,LLama 3-8B,Data Flow,1.0
GPT,OLAP,LLama 3-8B,Control Flow,1.0
GPT,OLAP,Claude,Data Flow,1.0
GPT,OLAP,Claude,Control Flow,1.0
GPT,OLAP,Gemini,Data Flow,1.0
GPT,OLAP,Gemini,Control Flow,1.0
