context,Data Type,avg_score,std_score
Baseline,Control Flow,0.028571428571428574,0.07559289460184546
Baseline + FS,Control Flow,0.14285714285714285,0.37796447300922725
Baseline + FS + Schema,Control Flow,0.6714285714285715,0.4019298683198588
Baseline + FS + Schema + Values,Control Flow,0.7000000000000001,0.35472994422987936
Baseline + FS + Guidelines,Control Flow,0.9142857142857144,0.09449111825230676
Full,Control Flow,0.9571428571428572,0.07319250547113995
Baseline,Data Flow,0.1285714285714286,0.18898223650461363
Baseline + FS,Data Flow,0.21428571428571427,0.3933978962347216
Baseline + FS + Schema,Data Flow,0.5428571428571428,0.3552329886011098
Baseline + FS + Schema + Values,Data Flow,0.5714285714285714,0.31471831698777725
Baseline + FS + Guidelines,Data Flow,0.9500000000000001,0.08660254037844388
Full,Data Flow,0.9928571428571429,0.018898223650461385
Baseline,Scheduling,0.05,0.09258200997725516
Baseline + FS,Scheduling,0.0,0.0
Baseline + FS + Schema,Scheduling,0.6125,0.37488093347850365
Baseline + FS + Schema + Values,Scheduling,0.69375,0.34788904224520456
Baseline + FS + Guidelines,Scheduling,0.925,0.09258200997725512
Full,Scheduling,0.9625,0.06943650748294132
Baseline,Telemetry,0.044444444444444446,0.08819171036881969
Baseline + FS,Telemetry,0.14444444444444446,0.2603416558635551
Baseline + FS + Schema,Telemetry,0.4666666666666667,0.30822070014844877
Baseline + FS + Schema + Values,Telemetry,0.5444444444444445,0.2603416558635552
Baseline + FS + Guidelines,Telemetry,0.8611111111111112,0.15567951410224504
Full,Telemetry,0.9777777777777779,0.03632415786283895
